I, [2014-08-06T16:38:56.903369 #1092]  INFO -- : Database does not exist.  Creating database
I, [2014-08-06T16:38:58.325654 #1092]  INFO -- : authenticating
I, [2014-08-06T16:38:58.326654 #1092]  INFO -- : @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:38:58.326654 #1092]  INFO -- : Refreshing Grouplist for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:38:59.922973 #1092]  INFO -- : Loading Grouplist from the database for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:39:06.629314 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:39:48.366660 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:40:17.418469 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:42:12.918769 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:42:33.895866 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:42:49.846461 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:43:05.199996 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:43:27.688245 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:43:38.467323 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:45:20.632538 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:46:24.496924 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:49:53.706843 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:50:27.989271 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:51:10.807552 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:51:30.804552 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:52:39.256396 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:52:46.485119 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:53:55.372007 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:54:10.735543 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:58:29.748442 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
I, [2014-08-06T16:58:57.446212 #1092]  INFO -- : Pulling total posts, total likes, top posts, and top images in #(@input.groupid} for @state.token = ac71c150be6b0131f43976872e13f476
